1 , 655990 , 31.2723 , 3808585 , 25546800 , 35563 , 29390948 , 48
2 , 613 , 0.0292229 ,  , 37525 , 572 , 38097 , 
3 , 2199 , 0.10483 ,  , 99602 , 2444 , 102046 , 
4 , 6116 , 0.291561 ,  , 207188 , 2316 , 209504 , 
5 , 16734 , 0.797741 , 179 , 418412 , 677 , 419268 , 
6 , 24330 , 1.15986 , 69 , 474748 , 596 , 475413 , 
7 , 5750 , 0.274113 , 40 , 75416 , 39 , 75495 , 
8 , 88263 , 4.20766 ,  , 433635 , 494 , 434129 , 
9 , 891656 , 42.5069 ,  , 4416216 , 42637 , 4458853 , 270698
10 , 160210 , 7.63751 ,  , 1296582 , 12119 , 1308701 , 6150
11 , 147810 , 7.04638 ,  , 1037208 , 27499 , 1064707 , 7658
12 , 47767 , 2.27714 ,  , 375334 , 12548 , 387882 , 1443
13 , 24211 , 1.15418 ,  , 171408 , 9363 , 180771 , 1069
14 , 12236 , 0.583313 ,  , 64649 , 6110 , 70759 , 1227
15 , 3132 , 0.149308 ,  , 4829 , 2616 , 7445 , 816
16 , 3614 , 0.172286 ,  ,  , 7595 , 7595 , 
17 , 4484 , 0.213761 ,  ,  , 6597 , 6597 , 2106
18 , 1309 , 0.0624025 ,  ,  , 2144 , 2144 , 516
19 , 649 , 0.0309391 ,  ,  , 1172 , 1172 , 220
20 , 320 , 0.015255 ,  ,  , 533 , 533 , 135
21 , 145 , 0.00691242 ,  ,  , 222 , 222 , 66
22 , 86 , 0.00409978 ,  ,  , 127 , 127 , 40
23 , 41 , 0.00195455 ,  ,  , 71 , 71 , 15
24 , 7 , 0.000333703 ,  ,  , 0 , 0 , 7
